"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N#","SerialNumber","HasSafetyRec","Mode","ReportType","OriginalPublishedDate","DocketOriginalPublishedDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","Findings","EventID","Latitude","Longitude ","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","EngineType","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","BroadPhaseofFlight","ReportStatus","RepGenFlag","MostRecentReportType","DocketUrl","ReportUrl"
"DCA23LA445","ACC","193031","2023-09-07T02:32:00Z","Hebron","Kentucky","United States",,"N37531","66119","false","Aviation","DirectorBrief","2023-10-17T04:00:00Z",,"Serious","0","1","0","An inadvertent encounter with convectively induced turbulence (CIT) during descent.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Personnel issues - Experience/knowledge - Knowledge - Knowledge of meteorologic cond - Flight crew",,"38.750900000000001","-85.267600000000002","BOEING","737-9","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","UNITED AIRLINES INC","Enroute","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/193031/pdf"
"DCA23LA382","ACC","192742","2023-07-28T08:16:00Z","Myrtle Beach","Atlantic Ocean","United States",,"N77431","32833","false","Aviation","DirectorBrief","2023-11-15T05:00:00Z","2023-11-15T19:00:00Z","Serious","0","1","0","An encounter with convectively induced turbulence (CIT) while in cruise flight.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Personnel issues - Experience/knowledge - Knowledge - Knowledge of meteorologic cond - Flight crew",,"34.516666999999998","-74.085278000000002","BOEING","737-924ER","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","UNITED AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192742","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192742/pdf"
"DCA23LA383","ACC","192743","2023-07-24T15:30:00Z","East Palestine","Ohio","United States",,"N279WN","32532","false","Aviation","DirectorBrief","2023-10-16T04:00:00Z","2023-10-16T18:00:00Z","Serious","0","1","0","An inadvertent encounter with convectively induced turbulence (CIT) during descent.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition, Personnel issues - Experience/knowledge - Knowledge - Knowledge of meteorologic cond - Flight crew",,"40.880000000000003","-80.658000000000001","BOEING","737","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","SOUTHWEST AIRLINES CO","Approach","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192743","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192743/pdf"
"DCA23WA394","ACC","192790","2023-07-24T11:00:00Z","Fuimicino",,"Italy",,"N189DN","25990","false","Aviation","",,,"None","0","0","0",,,,,,"BOEING","767-332","AIR",,,"false","2",,"SCHD",,"121","Minor",,"DELTA AIR LINES INC","Enroute","N/A",,"Prelim","","None"
"DCA23WA363","ACC","192633","2023-07-17T01:30:00Z","Tel Aviv","Other Foreign","Israel",,"OE-LRG, N918FD","24290","false","Aviation","",,,,,,,,,,"32.011398","34.886699999999998","BOEING, BOEING","747, 757-23A","AIR, AIR",,,"false, false","2",,,,"NUSC, 121","Minor, Substantial",,"Challenge Belgium, FEDERAL EXPRESS CORP","Pushback/Tow","N/A",,"Prelim","","None"
"DCA23LA378","ACC","192698","2023-07-12T15:10:00Z","Inverness","Florida","United States",,"N249NV","7766","false","Aviation","DirectorBrief","2023-10-19T04:00:00Z","2023-10-17T18:00:00Z","Serious","0","2","4","An inadvertent encounter with convectively induced turbulence during descent.","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel, Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Awareness of condition",,"27.9102","-82.687400999999994","AIRBUS","A320-214","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","Allegiant Air, LLC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192698","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192698/pdf"
"DCA23LA305","ACC","192293","2023-06-01T17:06:00Z","Chicago","Illinois","United States",,"N28457","41744","false","Aviation","DirectorBrief","2023-10-16T04:00:00Z","2023-10-16T18:00:00Z","Serious","0","1","0","An encounter with convectively-induced turbulence (CIT).","Environmental issues - Conditions/weather/phenomena - Convective weather - (general) - Effect on personnel",,"42.631500000000003","-88.271799999999999","BOEING","737-924ER","AIR",,,"false","2","TF","SCHD",,"121","None","VMC","UNITED AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192293","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192293/pdf"
"DCA23LA304","ACC","192290","2023-06-01T16:32:00Z","Houston","Texas","United States",,"N479UA","1538","false","Aviation","DirectorBrief","2023-11-15T05:00:00Z","2023-11-15T19:00:00Z","Serious","0","1","0","An encounter with convectively-induced turbulence (CIT).","Environmental issues - Conditions/weather/phenomena - Turbulence - Convective turbulence - Effect on personnel",,"29.990200000000002","-95.336799999999997","AIRBUS INDUSTRIE","A320-232","AIR",,,"false","2","TF","SCHD",,"121","None","IMC","UNITED AIRLINES INC","Enroute","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=192290","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/192290/pdf"
"DCA23LA278","ACC","135369","2023-05-05T04:54:00Z","Charlotte","North Carolina","United States",,"N921US","6523","false","Aviation","DirectorBrief","2023-07-18T04:00:00Z",,"None","0","0","0","The captain’s failure to maintain the appropriate airspeed and pitch attitude during landing which resulted in a tailstrike.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Pilot",,"35.215877999999996","-80.950874999999996","AIRBUS","A321-231","AIR","CLT","CHARLOTTE/DOUGLAS INTL","false","2","TF","SCHD",,"121","Substantial","VMC","AMERICAN AIRLINES INC","Landing","Completed",,"Final","","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/135369/pdf"
"DCA23LA221","ACC","106964","2023-03-22T17:26:00Z","Houston","Texas","United States",,"N1902U","2714","false","Aviation","DirectorBrief","2023-06-16T04:00:00Z","2023-06-20T19:00:00Z","None","0","0","0","The first officer's failure to maintain the correct airspeed and pitch attitude during landing which resulted in a tailstrike.","Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Pitch control - Not attained/maintained, Aircraft - Aircraft oper/perf/capability - Performance/control parameters - Airspeed - Not attained/maintained, Personnel issues - Task performance - Use of equip/info - Aircraft control - Copilot",,"29.977799999999998","-95.305700000000002","AIRBUS","A320-232","AIR","IAH","GEORGE BUSH INTCNTL/HOUSTON","false","2","TF","SCHD",,"121","Substantial","VMC","UNITED AIRLINES INC","Unknown","Completed",,"Final","https://data.ntsb.gov/Docket?ProjectID=106964","https://data.ntsb.gov/carol-repgen/api/Aviation/ReportMain/GenerateNewestReport/106964/pdf"
